Count	Name	Example1	Example2	Example3	Example4	Example5
2	Margaret McKenchnie	Orange Band competition, Prince of Orange Junior Orange Lodge Number 19 group : Cyril Jackson, Margaret McKenchnie, Jack Spence, Phyllis Mitchell, George Foster	Orange Band competition, Prince of Orange Junior Orange Lodge Number 19 group : Cyril Jackson, Margaret McKenchnie, Jack Spence, Phyllis Mitchell, George Foster
2	Jack Spence	Orange Band competition, Prince of Orange Junior Orange Lodge Number 19 group : Cyril Jackson, Margaret McKenchnie, Jack Spence, Phyllis Mitchell, George Foster	Orange Band competition, Prince of Orange Junior Orange Lodge Number 19 group : Cyril Jackson, Margaret McKenchnie, Jack Spence, Phyllis Mitchell, George Foster
2	Phyllis Mitchell	Orange Band competition, Prince of Orange Junior Orange Lodge Number 19 group : Cyril Jackson, Margaret McKenchnie, Jack Spence, Phyllis Mitchell, George Foster	Orange Band competition, Prince of Orange Junior Orange Lodge Number 19 group : Cyril Jackson, Margaret McKenchnie, Jack Spence, Phyllis Mitchell, George Foster
2	Sir Henry Pellatt's Castle	Sir Henry Pellatt's Castle, duplicate negative from picture by Pringle and Booth	Sir Henry Pellatt's Castle, (Advertising Section)
2	Premier King	Ottawa, Hon J. C. Elliott, Prince of Wales, Premier King at statue	Ogdensburg, President Roosevelt, Premier King, Secretary Stimson
2	Miss Ishbel MacDonald	Ramsay MacDonald, self and Miss Ishbel MacDonald at Government House	Ramsay MacDonald, self and Miss Ishbel MacDonald at Government House
2	Colonel Arthur Currie	CNE, Ackerman, Colonel Arthur Currie, D.C. Draper	CNE, Ackerman, Colonel Arthur Currie, D.C. Draper
2	D.C. Draper	CNE, Ackerman, Colonel Arthur Currie, D.C. Draper	CNE, Ackerman, Colonel Arthur Currie, D.C. Draper
2	P.D. Ross	Senior golfers, P.D. Ross, Ottawa, president of Canadian Seniors, portrait	P.D. Ross, President of Canadian Golf Association
2	Paul Martin	Ottawa, Paul Martin, seat of state	Ottawa, Paul Martin, flag designs
2	Mrs. Robert H. Saunders	Lady Alexander with Mrs. Robert H. Saunders at Old City Hall	Governor General Alexander and Lady Alexander with Mrs. Robert H. Saunders at Old City Hall
2	T.A. McGillivray	Yardley [perfume building] opening group : Sir Wm. Clark, T.A. McGillivray, C.H. Carlisle, [M.B.] McGillivray, Thos. Jenkins, C.L. Burton	Yardley [perfume building] opening, M.B. McGillivray, Vice President Sir Wm. Clark, T.A. McGillivray, President
2	C.L. Burton	Yardley [perfume building] opening group : Sir Wm. Clark, T.A. McGillivray, C.H. Carlisle, [M.B.] McGillivray, Thos. Jenkins, C.L. Burton	C.L. Burton (of Simpson's) and Thomas Bradshaw
2	N' Shop	Easy 'N' Shop, 212 O'Connor Drive, and 214-220 O'Connor Drive, former corner stores, north side, at Chilton Road, north-east corner	Easy 'N' Shop, 212 O'Connor Drive, and 214-220 O'Connor Drive, former corner stores, north side, at Chilton Road, north-east corner
2	New Eaton Building	New Eaton Building under way, College and Yonge	New Eaton Building under way, College and Yonge
2	East Avenue Harbour Terminal	East Avenue Harbour Terminal connection - marchments crossing	East Avenue Harbour Terminal connection - diamond and construction
2	M.B. Jones	Case #4109 - M.B. Jones, (Legal Department)	Case #4109, M.B. Jones, city limit, collision, auto and north Yonge car.
2	Police Constable Glover	Laura Secord hold-up, Police Constable Glover (202) portrait	Laura Secord hold-up, Police Constable Glover (202) portrait
2	Jean Thompson	Parkdale Ladies [Athletic Club] meet, Jean Thompson, Parkdale Ladies A.C., full figure	Olympics team, left to right: Myrtle Cook, Jean Thompson, Ethel Smith, Florence Bell, Ethel Catherwood, Fannie Rosenfeld, Miss A.E.M. Parkes (Chaperone) and Dorothy Prior, waving
2	Hillcrest Race Track	Hillcrest Race Track, from Bathurst Street and Davenport Road	Hillcrest Race Track
2	St. George Society	Ottawa, Lord Wellington and St. George Society officials, general	St. George Society, preparing Xmas boxes
2	St. Andrews College	Chapel at St. Andrews College, Aurora, Ontario	Chapel at St. Andrews College, Aurora, Ontario (interior view)
2	Mrs. T. Ashmore Kidd	Legislature opening, Speaker and Mrs. T. Ashmore Kidd	Opening of Legislature, Speaker and Mrs. T. Ashmore Kidd
2	Saving Guards	Salvation Army parade, Life-Saving Guards, Bedford Park	Salvation Army parade, Life-Saving Guards
2	Governor Herbert Bruce	Lieutenant-Governor Herbert Bruce and aides, Chorley Park	Lieutenant-Governor Herbert Bruce and aides, Chorley Park
2	Elizabeth Street Playground Intermediates	Elizabeth Street Playground Intermediates — Playground, City and Ontario Basketball Champions	Elizabeth Street Playground Intermediates — Playground, City and Ontario Basketball Champions
2	Kimberley School	Dental clinic — Kimberley School	Dental clinic — Kimberley School
2	S.J. Salsberg	Communist meeting, S.J. Salsberg and police	Communist meeting, S.J. Salsberg and police
2	Hon. Peter Heenan	Hon. Peter Heenan, Kenora, portrait	Ottawa, Hon. G. H. Ferguson, Hon. Peter Heenan 
2	Peter Madgett	Portrait photographs of bassists Ruth Budd and Peter Madgett by Frank Harmantas	Portrait photographs of bassists Ruth Budd and Peter Madgett by Frank Harmantas
2	Mr. McCrealy	George Drew, Premier of Ontario (left), with Mr. McCrealy	George Drew, Premier of Ontario (left), with Mr. McCrealy
2	St. Clair Hurlbut	St. Clair Hurlbut	St. Clair Hurlbut
2	Dufferin Street Race Track	Orpen Properties: street in vicinity of Dufferin Street Race Track	Orpen Properties: street in vicinity of Dufferin Street Race Track
2	Colonel A.F. Hatch	Canadian Manufacturers Association, Colonel A.F. Hatch, Hamilton, Chester Payne, Ottawa	Canadian Manufacturers Association, Colonel A.F. Hatch, Hamilton, Chester Payne, Ottawa
2	Chester Payne	Canadian Manufacturers Association, Colonel A.F. Hatch, Hamilton, Chester Payne, Ottawa	Canadian Manufacturers Association, Colonel A.F. Hatch, Hamilton, Chester Payne, Ottawa
2	Battle Creek	CNE, Battle Creek boy scout, group	CNE, Battle Creek boy scout, line
2	St. Clair N	Warren Rd. - St. Clair N	Warren Rd. - St. Clair N
2	Morse Playground	Morse Playground — Midget Tether Tennis Team	Morse Playground — Senior Volleyball Team
2	William Struthers	Royal Winter Fair, William Struthers, Sarnia and Hon. George S. Henry	Royal Winter Fair, William Struthers, Sarnia and Hon. George S. Henry
2	Governor General Lord Willingdon	Governor General Lord Willingdon and prize bull	Governor General Lord Willingdon views cattle
2	Arcade Florist	Flowers, Arcade Florist	Flowers, Arcade Florist
2	Baby Henry Morans	Baby Henry Morans - 804 Dovercourt Road ( Children for Adoption ) see also number 397	Baby Henry Morans - 804 Dovercourt Road ( see also number 410 )
2	H.B. Williams	H.B. Williams omnibus of 1849, "John Ross Robertson Collection," (Commercial Department)	H.B. Williams bus, at Red Lion Hotel, 1850, "John Ross Robertson Collection," (Commercial Department)
2	Earlscourt Park Shelter	Earlscourt Park Shelter	Earlscourt Park Shelter
2	Navy League Bldg	Navy League Bldg, general view of opening ceremony	Navy League Bldg, two cadets & gun, silhouette
2	Brant Place	7 Brant Place - court	15 Brant Place
2	Bishop Tutu	North-east corner of Stadium and Bishop Tutu	Queens Quay West looking west from Bishop Tutu
2	Hamilton Market	Hamilton Market	Hamilton Market
2	J. Marlow	J. Marlow	J. Marlow
2	Elmore Philpott	Elmore Philpott, Globe, at desk	Elmore Philpott, Globe, at desk
2	Old Orchard	Speed skaters of Old Orchard skating club	Skater M. Flack at "Old Orchard"
2	Sunnyside Pavilion Restaurant	Sunnyside Pavilion Restaurant	Main entrance to Sunnyside Pavilion Restaurant
2	Lower Spadina	Foot of Lower Spadina looking south	Foot of Lower Spadina looking east
2	McMurrich Senior Public School	Pentland & Baker, Architects, McMurrich Senior Public School, Toronto	Pentland & Baker, Architects, indoor swimming pool, McMurrich Senior Public School, Toronto
2	Dining Room	C. N. E. Grandstand — Mumby's special Dining Room	C. N. E. Grandstand — Mumby's special Dining Room
2	Julia O'Donald	Holiday trip, Cobalt, Q., Julia O'Donald, Mrs. Wilfred Moore, Mary O'Donald	Holiday trip, Cobalt, Julia O'Donald, portrait
2	H. R. H.	H. R. H. the Duchess of Connaught	H. R. H. the Duke of Connaught
2	W. T. J. Lee	Library addition cornerstone, W. T. J. Lee laying stone	Library addition cornerstone, W. T. J. Lee speaking
2	T. B. Horkins	T. B. Horkins (centre) and group at Maple Leaf Gardens	T. B. Horkins (left) at Maple Leaf Gardens
2	City Hardball Champions	Elizabeth Street Playground (Lizzies) Bantams — Playground and City Hardball Champions (film neg.)	McCormick Playground Juveniles — Playground and City Hardball Champions
2	W.B. Preston	W.B. Preston, Brantford, President of the Cananadian Daily Newspaper Association	W.B. Preston, Brantford, President of the Cananadian Daily Newspaper Association
2	Cananadian Daily Newspaper Association	W.B. Preston, Brantford, President of the Cananadian Daily Newspaper Association	W.B. Preston, Brantford, President of the Cananadian Daily Newspaper Association
2	Teddie Hanna	Orange Band competition group : Front, Teddie Hanna, 6 years, Vic Nash, 4 1/2 years old, Jack Nash, 5 1/2 years old, back, H.W. Attwell, R.E. Thompson, Alwyn Nash, Golden Jubilee Band	Orange Band competition group : Front, Teddie Hanna, 6 years, Vic Nash, 4 1/2 years old, Jack Nash, 5 1/2 years old, back, H.W. Attwell, R.E. Thompson, Alwyn Nash, Golden Jubilee Band
2	Vic Nash	Orange Band competition group : Front, Teddie Hanna, 6 years, Vic Nash, 4 1/2 years old, Jack Nash, 5 1/2 years old, back, H.W. Attwell, R.E. Thompson, Alwyn Nash, Golden Jubilee Band	Orange Band competition group : Front, Teddie Hanna, 6 years, Vic Nash, 4 1/2 years old, Jack Nash, 5 1/2 years old, back, H.W. Attwell, R.E. Thompson, Alwyn Nash, Golden Jubilee Band
2	H.W. Attwell	Orange Band competition group : Front, Teddie Hanna, 6 years, Vic Nash, 4 1/2 years old, Jack Nash, 5 1/2 years old, back, H.W. Attwell, R.E. Thompson, Alwyn Nash, Golden Jubilee Band	Orange Band competition group : Front, Teddie Hanna, 6 years, Vic Nash, 4 1/2 years old, Jack Nash, 5 1/2 years old, back, H.W. Attwell, R.E. Thompson, Alwyn Nash, Golden Jubilee Band
2	R.E. Thompson	Orange Band competition group : Front, Teddie Hanna, 6 years, Vic Nash, 4 1/2 years old, Jack Nash, 5 1/2 years old, back, H.W. Attwell, R.E. Thompson, Alwyn Nash, Golden Jubilee Band	Orange Band competition group : Front, Teddie Hanna, 6 years, Vic Nash, 4 1/2 years old, Jack Nash, 5 1/2 years old, back, H.W. Attwell, R.E. Thompson, Alwyn Nash, Golden Jubilee Band
2	Alwyn Nash	Orange Band competition group : Front, Teddie Hanna, 6 years, Vic Nash, 4 1/2 years old, Jack Nash, 5 1/2 years old, back, H.W. Attwell, R.E. Thompson, Alwyn Nash, Golden Jubilee Band	Orange Band competition group : Front, Teddie Hanna, 6 years, Vic Nash, 4 1/2 years old, Jack Nash, 5 1/2 years old, back, H.W. Attwell, R.E. Thompson, Alwyn Nash, Golden Jubilee Band
2	Golden Jubilee Band	Orange Band competition group : Front, Teddie Hanna, 6 years, Vic Nash, 4 1/2 years old, Jack Nash, 5 1/2 years old, back, H.W. Attwell, R.E. Thompson, Alwyn Nash, Golden Jubilee Band	Orange Band competition group : Front, Teddie Hanna, 6 years, Vic Nash, 4 1/2 years old, Jack Nash, 5 1/2 years old, back, H.W. Attwell, R.E. Thompson, Alwyn Nash, Golden Jubilee Band
2	McLaren	McLaren, "Globe," copy	McLaren, "Globe," copy
2	G.T.R. Sunnyside Station	G.T.R. Sunnyside Station	G.T.R. Sunnyside Station construction
2	Clerk's Office	Clerk's Office	Clerk's Office
2	Controller Geo. Ramsden	Controller Geo. Ramsden - old house Thornhill	Controller Geo. Ramsden - old house Thornhill
2	Dr. Godfrey	Dr. Godfrey with three men connected with Metropolitan Opera at Maple Leaf Gardens	Dr. Godfrey with three men connected with Metropolitan Opera at Maple Leaf Gardens
2	Ramesis Shrine	Ramesis Shrine	Ramesis Shrine
2	Earlscourt Baptist Church	Earlscourt Baptist Church	Earlscourt Baptist Church — St. Clair Avenue widening
2	Old Mill Restaurant	Humber - Old Millrace bridge, (Old Mill Restaurant built 1914)	Tea Gardens, Old Mill Restaurant
2	Wellington Streets	N/E corner of Yonge and Wellington Streets (Bank of British North America)	Toronto fire 1904, southeast corner of Bay and Wellington Streets
2	Mr. Sutton	Wrecked seaplane, Mr. Sutton, wife, portrait	Wrecked seaplane, Mr. Sutton, wife, portrait
2	Ruth Ryerse	Miss Toronto Beauty Contest, 1946, C.N.E. Grandstand : Irene Ayers, Miss Toronto 1946, with runners up, Ruth Ryerse, left, and Phyllis Webb, right	Miss Toronto Beauty Contest, 1946, C.N.E. Grandstand : Mayor Robert H. Saunders with Irene Ayers, Miss Toronto 1946, centre, and two runners up, Phyllis Webb, right, and Ruth Ryerse, left
2	Phyllis Webb	Miss Toronto Beauty Contest, 1946, C.N.E. Grandstand : Irene Ayers, Miss Toronto 1946, with runners up, Ruth Ryerse, left, and Phyllis Webb, right	Miss Toronto Beauty Contest, 1946, C.N.E. Grandstand : Mayor Robert H. Saunders with Irene Ayers, Miss Toronto 1946, centre, and two runners up, Phyllis Webb, right, and Ruth Ryerse, left
2	Educational Congress	Educational Congress - Simcoe Hall	Educational Congress - Simcoe Hall
2	Mrs. Eliza Robertson	Hornby, Boston Presbyterian Church, Mrs. Eliza Robertson, 93 yrs old, [fog]	Hornby, Boston Presbyterian Church, Mrs. Eliza Robertson and Rev Peter W. MacInnes
2	University Officer Training Corps	Soldiers' Tower, University Officer Training Corps marching thru tower arch	Soldiers' Tower, general view, delegation, crowd, University Officer Training Corps
2	Toronto Civic Railways Car No.	Toronto Civic Railways Car No. 3	Toronto Civic Railways Car No. 3
2	Japanese Canadians	Japanese Canadians, Ken and George [Kitawia], 5871 Yonge Street	Japanese Canadians, Sam Yamato, photographer
2	McCormack Residence	No. 336 Annette Street, McCormack Residence, Laws and Annette streets	No. 336 Annette Street, McCormack Residence (later Jewish Philanthropic Home)
2	Simpson's Tower	Looking down from Simpson's Tower to Queen and Old City Hall	View of the exterior of Eaton's Budget store and Simpson's Tower
2	Adam Beck School	Adam Beck School, Loftus H. Reid speaking	Adam Beck School cornerstone, group of children
2	J. B.	Misses May Brown & Violet McLaughlin and J. B.	J. B. portrait
2	Women's Federated Union	Women's Federated Union group	Women's Federated Union group
2	Old St. Andrews Church	Old St. Andrews Church, Toronto	Old St. Andrews Church, Jarvis & Carlton, 50th anniversary
2	New Golf	New Golf-Bickle pumper 24 at Firehall 24	New Golf-Bickle pumper 24 at Firehall 24
2	David Shepherd	David Shepherd, [Engineer] Customs Building, portrait	David Shepherd, [Engineer] Customs Building, portrait
2	Eleanor O'Heara	Rod Foster party, Sandy [McLeslie], Eleanor O'Heara	Rod Foster party, Eleanor O'Heara, Maria O'Heara
2	Chief William J. Russell	Chief William J. Russell with department car, an Oakland automobile, at Adelaide Street Firehall	Chief William J. Russell with department car, an Oakland automobile, at Adelaide Street Firehall
2	John Pritchard	John Pritchard residence, 55 Oakwood Avenue	John Pritchard residence, 55 Oakwood Avenue
2	John Quay	Harbourfront, Marina and John Quay looking south from above	Map of John Quay park development
2	Toronto Eaton Centre	Toronto Eaton Centre, South Tower construction : 20 Queen Street West	Toronto Eaton Centre, north of Queen Street
2	Northern Division Grand Trunk Railway	Northern Division Grand Trunk Railway crossing Bloor Street West looking west	Northern Division Grand Trunk Railway crossing Bloor Street West looking north
2	Abbey Buett	Nat. Turofsky, Abbey Buett, Nels Quarrington, in cage	Nat. Turofsky, Abbey Buett, Nels Quarrington, in cage
2	Dowling Avenue Crossing	Track, looking east across Dowling Avenue Crossing	Track, looking west across Dowling Avenue Crossing
2	Toronto Elevators Ltd.	Toronto Elevators Ltd.	Toronto Elevators Ltd.
2	Toronto Liberal	Patrick Donnelly, Toronto Liberal, portrait	Farquhar MacRae, Toronto Liberal, portrait
2	Blue Ribbon Softenized Figs	Coach Lloyd Percival and young men eating Blue Ribbon Softenized Figs	Coach Lloyd Percival and young men eating Blue Ribbon Softenized Figs
2	Arthur A. Mailey	Toronto Cricket Club, Arthur A. Mailey bowling	Toronto Cricket Club, Arthur A. Mailey bowling
2	General King	Montreal, General King, General [Trotter], Mayor Martin, Prince of Wales	Quebec, Prince of Wales and General King approaching guard
2	Mayor Martin	Montreal, General King, General [Trotter], Mayor Martin, Prince of Wales	Montreal, Prince and Mayor Martin leaving City Hall
2	Secord School	Secord School, exhibition of work, sewing station	Secord School, exhibition of work, basketing
2	Stanley Park Juveniles	Stanley Park Juveniles — Playground and T.B.A. Hardball Champions	Stanley Park Juveniles — Playground and T.B.A. Hardball Champions
2	T.B.A. Hardball Champions	Stanley Park Juveniles — Playground and T.B.A. Hardball Champions	Stanley Park Juveniles — Playground and T.B.A. Hardball Champions
2	Governor General Byng	Governor General Byng, centre	Governor General Byng and Mrs. Beardmore, Ontario Jockey Club
2	Yarmouth Gardens	34, 36 Yarmouth Gardens	39 Yarmouth Gardens looking east
2	Front Streets	Corner Cherry and Front Streets	Toronto fire 1904, northeast corner of Bay and Front Streets
2	Grace Church	Grace Church on the Hill, Russell Hill Road and Lonsdale Road, interior	Grace Church on the Hill, Russell Hill Road and Lonsdale, exterior
2	Plainclothesman Mumberson	Plainclothesman Mumberson, #1 Div.	Plainclothesman Mumberson, #1 Div.
2	Dom. Speed Skating	Dom. Speed Skating, Joe Thompson presenting to Liela Brooks	Dom. Speed Skating, Leila Brooks, head & shoulders
2	Supreme Court Judge Riddell	Supreme Court Judge Riddell	Supreme Court Judge Riddell
2	Mayor Maguire	Exhibition, Mayor Maguire arrving on Cuban cruiser	Trowel presented to Mayor Maguire at laying of Corner Stone of Nurses' Home, Riverdale park
2	Professor John Patterson	Professor John Patterson, Toronto Meteorological Office, with camera	Professor John Patterson, Toronto Meteorological Office weather balloon test on University of Toronto athletic grounds
2	Darling Building	Looking southeast from Darling Building, Spadina Avenue	Adelaide Street West, looking east from Darling Building, west of Peter Street
2	Hon. James A. Robb	Hon. James A. Robb, Minister Trade & Commerce, interior	Hon. James A. Robb
2	OABA Juvenile Champions	OABA Juvenile Champions	OABA Juvenile Champions
2	Otter Crescent	Proposed bus loop, Avenue Road and Otter Crescent, (Buildings Department)	Proposed bus loop, Avenue Road and Otter Crescent, (Buildings Department)
2	Works Building	Works Building	Works Building
2	WM Rennie	View of the ferry WM Rennie at Centre Island dock	View of the ferry "WM Rennie" near docks
2	Toronto Bible College	Toronto Bible College, 16 Spadina Road	Wrecking buildings on College St. opposite Toronto Bible College
2	John Marr	John Marr, Room 308, 94 Wellington West, Knight Templar	John Marr, Room 308, 94 Wellington West, Knight Templar
2	Knight Templar	John Marr, Room 308, 94 Wellington West, Knight Templar	John Marr, Room 308, 94 Wellington West, Knight Templar
2	C. A. Minor	Great Lakes Tours Assn, C. A. Minor, Buffalo	Great Lakes Tours Assn, C. A. Minor, Buffalo
2	Hollinger Bus Lines	Hollinger Bus Lines, East York, bus (Executive Department)	Hollinger Bus Lines, East York, bus, (Executive Department)
2	Elizabeth Intermediate Basketball	Elizabeth Intermediate Basketball 1929 — T and D and City Playground Champions	Elizabeth Intermediate Basketball 1929 — T and D and City Playground Champions
2	Shaftesbury Place	Shaftesbury Place	Shaftesbury Place (rear)
2	Engine House	Engine House, Station B, Eastern Avenue	Engine House, with Humphrey gas arc lamp hanging overhead, Station B, Eastern Avenue
2	Geo. Blagdon	CNE, men's swim, Geo. Blagdon, Memphis, Tennessee, portrait	CNE, men's swim, Geo. Blagdon, Memphis, Tennessee, portrait
2	Unidentified Supreme Court	Unidentified Supreme Court judge	Unidentified Supreme Court judge
2	Oldest School House	"Oldest School House," possibly in Niger	"Oldest School House," possibly in Niger
2	Silver Birch	Lake front looking east from Silver Birch — ice conditions at beach	Lake front looking up Silver Birch — ice conditions at beach
2	Essex Challenger Car	Essex Challenger Car, Princess Motors	Essex Challenger Car, Princess Motors
2	Intermediate Soccer Team	Stanley Park — Intermediate Soccer Team	Stanley Park — Intermediate Soccer Team
2	East Riverdale Juniors	East Riverdale Juniors — Playground, City and Toronto and District BAseball Champions	East Riverdale Juniors — Playground and T.O.H.A. Hockey Champions
2	East Riverdale Juvenile Baseball Champions	East Riverdale Juvenile Baseball Champions	East Riverdale Juvenile Baseball Champions
2	Dianne Perkins	Miss Toronto Beauty Contest, 1938.  C.N.E. Grandstand.  Dianne Perkins, Miss Toronto 1938, receiving winners bouquet	Miss Toronto Beauty Contest, 1938.  C.N.E. Grandstand.  Dianne Perkins, Miss Toronto 1938, with Mayor Ralph C. Day
2	Petit Mechins	Holiday trip, toy garage and ship near Petit Mechins, Quebec	Holiday trip, toy garage and ship near Petit Mechins, Quebec
2	Robina Loop	View of the Robina Loop from Oakwood Avenue	View of the Robina Loop from Oakwood Avenue
2	Frank C. Johnson	CNE, Frank C. Johnson, Brantford, bandmaster 1879	CNE, Frank C. Johnson, Brantford, bandmaster 1879
2	Susan Lipchak	Portrait photographs of violist Susan Lipchak by Frank Harmantas	Jane McAdam, bass player, and Susan Lipchak, violist, in symphony seminar at Thistletown Collegiate Institute
2	Great Western Railway	Great Western Railway station, Yonge and Front	Toronto Wholesale Fruit Market, Yonge Street at Front Street (s/e corner) : formerly the Great Western Railway  Co. terminal
2	Mr. Legg	Mr. Legg and his laboratory staff	Mr. Legg and two of his assistants in the chemical laboratory
2	Dance Hall	Dance Hall, Hanlan's Point	Dance Hall, Hanlan's Point
2	Eaton's Budget	View of the exterior of Eaton's Budget store and Simpson's Tower	View of the exterior of Eaton's Budget store
2	T.B. Macaulay	Stapellis, Empire Club president and T.B. Macaulay, Montreal	T.B. Macaulay, Montreal, portrait
2	Eglinton Office Building	Eglinton Office Building	Eglinton Office Building - trainmen's rotunda
2	Shamrock Hotel	Shamrock Hotel, s.w.corner Gerrard and River	Shamrock Hotel, southwest corner of River and Gerrard streets
2	Donald M. Fleming QC MP	Photos of Donald M. Fleming QC MP	Photos of Donald M. Fleming QC MP
2	Shell Tower	View of people standing against railing on the Shell Tower observation deck	Long view of grandstand from Shell Tower
2	Parks System	Map — Parks System, City of Toronto (film neg.)	Map — Parks System, City of Toronto (film neg.)
2	B' Softball Champions	St. Andrew's Playground Bantam 'B' Softball Champions — Playground and City	St. Andrew's Playground Bantam 'B' Softball Champions — Playground and City
2	Thomas Carlyle	Geo. H. Leslie, 1309 King West, Thomas Carlyle letter, copy	Geo. H. Leslie, 1309 King West, Thomas Carlyle letter, copy
2	Stadium Drawings	Stadium Drawings — proposed Memorial Stadium	Stadium Drawings — proposed Memorial Stadium
2	Memorial Stadium	Stadium Drawings — proposed Memorial Stadium	Stadium Drawings — proposed Memorial Stadium
2	Mugg's Island	Toronto skyline from Mugg's Island	Skyline from east of Mugg's Island
2	Park School	Globe oratorial, Jean Ewell, Park School, Grace Menlove, Queen Alexandria School	Sydenham Street opposite Park School — Junk Yard
2	Victory Gardens	Victory Gardens, A.J. Denne, 15 Pine Crescent	Victory Gardens, general, [Baltienf] Street North, near Eglinton
2	Pine Crescent	Victory Gardens, A.J. Denne, 15 Pine Crescent	Glen Stewart Park, north of Pine Crescent
2	Pres. Victoria Day Nursery	Mrs. John C. Saul, Pres. Victoria Day Nursery	Mrs. John C. Saul, Pres. Victoria Day Nursery
2	Miss Beaton	Miss Beaton instructs swimmers, McGill Street YWCA	Miss Beaton instructs swimmers, McGill Street YWCA
2	Police Sergeant Martin	General Smuts with Police Sergeant Martin and Police Sergeant Davie of Toronto Police	General Smuts with Police Sergeant Martin and Police Sergeant Davie of Toronto Police
2	Police Sergeant Davie	General Smuts with Police Sergeant Martin and Police Sergeant Davie of Toronto Police	General Smuts with Police Sergeant Martin and Police Sergeant Davie of Toronto Police
2	Pembroke Hotel	Pembroke Hotel at 177 Pembroke	Pembroke Hotel at 117 Pembroke
2	Scott Young	Sports columnist Scott Young and unidentified man at presentation of gift	Sports journalist Scott Young with hockey players in dressing room, Maple Leaf Gardens
2	King W	Toronto Skyline - north of King W, looking east from Peter St	Roy Thomson Hall - view from King W at Simcoe
2	Glenview Apartments	Glen Road, west side, south end of Bridge : #28-30 Glen Road, Glenview Apartments	Glen Road, west side, south end of bridge, Glenview Apartments : (see #76 of series)
2	Baltimore Harbour	Map of Baltimore Harbour	Map of Baltimore Harbour
2	Dom. Bank	Dom. Bank run, Bloor & Bathurst	Dom. Bank run, head office
2	J.H.H. Ballantyne	Government officials in Industry  : J.H.H. Ballantyne, Toronto, Meard Smett, Wisconsin, Dr. E. B. Patton, New York, Louise E. Schutz, Minnesota, W.A. Rooksbury, Arkansas	Government officials in Industry  : J.H.H. Ballantyne, Toronto, Meard Smett, Wisconsin, Dr. E. B. Patton, New York, Louise E. Schutz, Minnesota, W.A. Rooksbury, Arkansas
2	Meard Smett	Government officials in Industry  : J.H.H. Ballantyne, Toronto, Meard Smett, Wisconsin, Dr. E. B. Patton, New York, Louise E. Schutz, Minnesota, W.A. Rooksbury, Arkansas	Government officials in Industry  : J.H.H. Ballantyne, Toronto, Meard Smett, Wisconsin, Dr. E. B. Patton, New York, Louise E. Schutz, Minnesota, W.A. Rooksbury, Arkansas
2	Dr. E. B. Patton	Government officials in Industry  : J.H.H. Ballantyne, Toronto, Meard Smett, Wisconsin, Dr. E. B. Patton, New York, Louise E. Schutz, Minnesota, W.A. Rooksbury, Arkansas	Government officials in Industry  : J.H.H. Ballantyne, Toronto, Meard Smett, Wisconsin, Dr. E. B. Patton, New York, Louise E. Schutz, Minnesota, W.A. Rooksbury, Arkansas
2	Louise E. Schutz	Government officials in Industry  : J.H.H. Ballantyne, Toronto, Meard Smett, Wisconsin, Dr. E. B. Patton, New York, Louise E. Schutz, Minnesota, W.A. Rooksbury, Arkansas	Government officials in Industry  : J.H.H. Ballantyne, Toronto, Meard Smett, Wisconsin, Dr. E. B. Patton, New York, Louise E. Schutz, Minnesota, W.A. Rooksbury, Arkansas
2	W.A. Rooksbury	Government officials in Industry  : J.H.H. Ballantyne, Toronto, Meard Smett, Wisconsin, Dr. E. B. Patton, New York, Louise E. Schutz, Minnesota, W.A. Rooksbury, Arkansas	Government officials in Industry  : J.H.H. Ballantyne, Toronto, Meard Smett, Wisconsin, Dr. E. B. Patton, New York, Louise E. Schutz, Minnesota, W.A. Rooksbury, Arkansas
2	York Mills High Level Bridge	York Mills High Level Bridge, view across valley	York Mills High Level Bridge, pouring concrete
2	Laurie T. Simonsky	Laurie T. Simonsky, Reeve, Forest Hill Village, giving address at service for Remembrance Day	Portrait of Laurie T. Simonsky, Reeve (May 4, 1956-1962)
2	Mrs. P.C. Cripps	CNE, cat show, Wasco, Mrs. P.C. Cripps, Buffalo	CNE, cat show, Wasco, Mrs. P.C. Cripps, Buffalo
2	Hygenic Beauty Parlor	Hygenic Beauty Parlor, permanent wave	Hygenic Beauty Parlor, permanent wave
2	McCaul Street Synagogue	McCaul Street Synagogue	McCaul Street Synagogue, 67-69 McCaul Street,east side, facing Grange Road
2	Cowie Stable	Woodbine horses, Kingsway, Cowie Stable	Woodbine horses, Kingsway, Cowie Stable
2	Junior Girls Hockey	East Riverdale — Junior Girls Hockey	East Riverdale — Junior Girls Hockey
2	Rube W. Bolstad	Jack Kent Cooke is presented with pen set by Rube W. Bolstad	Jack Kent Cooke presented with pen set by Rube W. Bolstad
2	Dental Clinic	Dental Clinic in High School	Dental Clinic — Damaged negative, no print available
2	Colonel W.J. Stewart	Close view of historical plaque regarding Colonel W.J. Stewart	View of historical plaque regarding Colonel W.J. Stewart
2	Hotel Carls	Hotel Carls-Rite	Mayor Samuel McBride and wife Frances Jane outside Hotel Carls-Rite
2	OISE	York Club - OISE	York Club lawn looking east to OISE
2	British Welcome League	British Welcome League headquarters, Front Street West	British Welcome League dinner
2	Bloor Street Bridge	Humber River from Bloor Street Bridge	Humber River from Bloor Street Bridge
