title,citation,date,form,part_of,part_of_links,condition,copyright,imageLink,uniqueID,parent_uniqueID,parent_date,parent_desc,parent_title,parent_scope,physical_desc,subject,physical_desc_notes,numbers,other,scope,date_notes,title_notes,notes,author,author_notes,finding_aids,scale,geolocatable,datable,date_start,date_end,user_notes,latLng
Confederation Life Building,"Fonds 124, File 3, Item 99","December, 1982",Photographs - buildings - exterior views,"File 3; Buildings, Part 3",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0003_id0099.jpg,429437,127338,1972-1991,200 transparencies : col. ; 35 mm,"Buildings, Part 3","File consists of colour slides documenting major streets, storefronts, and prominent buildings in central Toronto, including City Hall (1899-1965), City Hall (1965- ), Nathan Phillips Square, Don Jail, Terminal Warehouse, Eaton's College Street, Eaton's Annex, Birk's (Yonge Street), Downtown Theatre, Imperial Theatre, University Theatre, Royal Ontario Museum, the Yorkville Fire Hall, St. Paul's Cathedral (exterior and interior), Church of the Redeemer, St. Basil's Cathedral, St. James Cathedral, Little Trinity Church, the Consumer's Gas building on Berkely Street, Royal York Hotel, Lord Simcoe Hotel, Confederation Life Building, the Domestic Science Building at Queen's Park and Bloor, Casa Loma, the Sunnyside Bathing Pavillion, the Cyclotron (Front Street), SkyDome, the Monarch Flour Mills, and the Dominion Coal Silos. The streetscapes show corners, buildings and storefronts along downtown streets including Yonge Street, Adelaide Street, Front Street and Wellington Street.","1 transparency : col. slide, diapositive (Kodachrome) ; 35 mm",,,Ellis Wiley slide number: L2.81-16702.,,,,,,,,,,Locatable,yes,1982,,,"{""latLng"":""43.6519933,-79.37825079999999""}"
Entrance to parking garage for Harbour Square condominiums at foot of Bay Street,"Fonds 200, Series 1465, File 513, Item 31",[between 1982  and 1994],Photographs,File 513; Streets - Bay Street,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0513_it0031.jpg,552838,322665,[between 1982  and 1994],"35 transparencies : col ; 35mm
2 transparencies : b&w; ; 35mm",Streets - Bay Street,"File consists of images of Bay between the lakeshore and Bloor. File also includes a few images of York, Yonge, and University.",,,,,,,,,,,,,,Locatable,yes,1982,1994,,"{""latLng"":""43.6406593,-79.3764974""}"
"Upper Canada College, Lieut. Col. W. A. McCrimmon, inspecting cadets","Fonds 1266, Item 2669","May 20, 1924",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 2669.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it2669.jpg,281258,46341,,,,,"1 photonegative : b&w;, safety film ; 10 x 13 cm",,"Negative was reformatted from nitrate film to safety film, between 1987 and 1990.",Previously cited: City of Toronto Archives SC 266-2669.,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,,Locatable,yes,1924,,,"{""latLng"":""43.6914604,-79.40343769999998""}"
"Balmy Beach Canoe Club, Kathleen McKee, full figure","Fonds 1266, Item 5605","June 14, 1925",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 5605.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it5605.jpg,282287,46341,,,,,"1 photonegative : b&w;, glass ; 9 x 11 cm",,,Previously cited: City of Toronto Archives SC 266-5605.,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,,Locatable,yes,1925,,,"{""latLng"":""43.6699677,-79.28643110000002""}"
Three Discs by Menashe Kadishman,"Fonds 1598, File 5, Item 32",,,File 5; Three Discs by Menashe Kadishman,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1598/f1598_fl0005_id0032.jpg,438764,333467,1967,51 transparencies : col. ; 35mm,Three Discs by Menashe Kadishman,"File consists of 51 slides of the Israeli artist Menashe Kadishman, mostly portraits of him and his family.  There are also slides of the completed, painted steel sculpture and its installation in High Park.",,,,,,,,,,,,,,Locatable,yes,1967,,"It's on ""Sculpture Hill""; not sure exactly where that is.","{""latLng"":""43.64654789999999,-79.4636903""}"
"Corner of Sherbourne St. and Queens Quay, looking north-east","Fonds 2032, Series 841, File 71, Item 7",1972,Photographs,"File 71; Sherbourne Street corners, from the Gardiner Expressway to Queens Quay",,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser841/s0841_fl0071_it0007.jpg,622066,622054,1972,"11 negatives : b&w; : 35 mm
3 photographs : b&w; ; 20 x 25 cm","Sherbourne Street corners, from the Gardiner Expressway to Queens Quay",,"1 negative : b&w; ; 35mm
1 print : b&w; ; 20 x 25 cm",STREETSCAPE (browse  records),,Previously cited as: RG32B neg 72-33 print 1214,,Item consists of one photograph of the Chas Abel Colour Plant.,,,,Jean-François Després,,,,Locatable,yes,1972,,,"{""latLng"":""43.6451803,-79.36542629999997""}"
Sterling Road,"Fonds 200, Series 372, Subseries 58, Item 371","December 1, 1913","Photographs - streetscapes
Photographs",Subseries 58; Road and street condition photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0058/s0372_ss0058_it0371.jpg,96459,84005,1910-1957,"2,502 photographs : b&w; ; 13 x 18 cm and smaller",Road and street condition photographs,"Subseries consists of photographs of streets and intersections across Toronto. Arranged chronologically, the photographs document road construction and maintenance projects including street paving (bitulithic, tarvia, concrete, Rocmac), road widening, track laying and reconstruction, and the creation of traffic islands. Also included are examples of damage to streets, including erosion, and weather-related incidents such as defective paving, cave-ins, curb heaving and flooding. ",1 photonegative : b&w; ; 15 x 18 cm,ROADS (browse  records),,,,,,,,,,,,Maybe,yes,1913,,,"{""latLng"":""43.6541401,-79.4447318""}"
Parks,"Fonds 124, File 10, Item 41",,,File 10; Parks,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0010_id0041.jpg,430258,127345,1946-1983,42 transparencies : col. ; 35 mm,Parks,"File consists of colour slides documenting Toronto parks including High park, Riverdale Park, Toronto Island, Trethewey Park, James Gardens, Creek Park, Boyd Park, and Don Valley Park.",,,,,,,,,,,,,,Maybe,yes,1946,1983,Someone from Toronto might be able to figure out where this was taken.,
"Hairdressing Show, Bertha Jones, Sunnyside, Audrey Wilson, Petite","Fonds 1266, Item 15790","February 26, 1929",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 15790.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it15790.jpg,293092,46341,,,,,"1 photonegative : b&w;, safety film ; 10 x 13 cm",,"Negative was reformatted from nitrate film to safety film, between 1987 and 1990.",Previously cited: City of Toronto Archives SC 266-15790.,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,,Not Locatable,yes,1929,,,
Canadian National Exhibition,"Fonds 16, Series 71, Item 11537",1936,"Photographs
Photographs - events",Series 71; Central photography series of the Toronto Transit Commission,,"OPEN - No restrictions on these government records.Researchers may not have access to original prints or negatives, but may use the reference photocopies available in the Research Hall.",Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser71/s0071_it11537.jpg,58912,25217,,,,,"1 photoprint : b&w; ; 13 x 18 cm
1 photonegative : glass, b&w; ; 13 x 18 cm",PEOPLE (browse  records) BUILDINGS (browse  records),,,"A reference photocopy of this image is available on the photograph collection shelves of the Research Hall. See TTC Collection, Series 71, Wickson Worksheets.",,,,,Alfred Pearson,"City of Toronto Archives, Series 71, Item 11537",,,Locatable,yes,1936,,,"{""latLng"":""43.632629103458044,-79.423691539978""}"
Trailers - Gerrard and Center Avenues,"Fonds 200, Series 372, Subseries 33, Item 797","Sept. 12, 1941",,Subseries 33; Housing photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource//ser372/ss0033/s0372_ss0033_it0797.jpg,248046,83978,1936-1951,986 photographs : b&w; ; 13 x 18 cm and smaller,Housing photographs,Subseries consists of photographs of houses located across the former City of Toronto.,1 photonegative : b&w; ; 13 x 18 cm.  - 1 photoprint : b&w; ; 13 x 18 cm,,,,,,,,,,,,,Locatable,yes,1941,,,"{""latLng"":""43.653226,-79.38318429999998""}"
"Yonge Street, looking south from the McBrien Building","Fonds 1567, Series 648, File 248, Item 2",,,"File 248; Yonge Street, looking south from the McBrien Building",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1567/ser648/s0648_fl0248_id0002.jpg,448436,126977,1968,2 photonegatives : b&w; ; 7 x 10 cm or smaller,"Yonge Street, looking south from the McBrien Building","File consists of copy negatives of a picture of Yonge Street, looking south from the McBrien Building, and of an unidentified view of construction.",,,,,,,,,,,,,,Locatable,yes,1968,,,"{""latLng"":""43.697754,-79.39697949999999""}"
"C.N.E., Aircraft Bldg, from side","Fonds 1266, Item 14686","September 3, 1928",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 14686.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it14686.jpg,290619,46341,,,,,"1 photonegative : b&w;, glass ; 9 x 11 cm",,,Previously cited: City of Toronto Archives SC 266-14686.,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,,Locatable,yes,1928,,"canadian national exhibition has a permanent location down near the water, unclear what building this specifically is, could now be under BMO field","{""latLng"":""43.632877592749246,-79.42098787329098""}"
Bloor and Parliament looking south-west to city centre,"Fonds 200, Series 1465, File 766, Item 14",[1990 or 1991],Photographs,File 766; Architecture in the year 2000 slide show,,OPEN - No restrictions on these government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0766_it0014.jpg,601300,325799,[191?]-1991; predmoinant 1970-1991,"29 transparencies : colour ; 35mm
8 transparencies : b&w; ; 35mm",Architecture in the year 2000 slide show,"File consists of slides used in a presentation given in October 1991 entitled ""Architecture in the year 2000, the role of urban design"".
Slides depict historical ward maps, aerials and presentation drawings.",,,,,,,,,,,,,,Locatable,yes,1990,1991,"""Architecture in the year 2000"" — sounds like something worth checking out!","{""latLng"":""43.6720333,-79.37072799999999""}"
"Memorial Hall, (interior), Niagara Historical Society, (Commercial)","Fonds 16, Series 71, Item 5346",July 1927,,Series 71; Central photography series of the Toronto Transit Commission,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser71/s0071_it5346.jpg,40203,25217,,,,,"1 photoprint : b&w; ; 13 x 18 cm
1 photonegative : glass, b&w; ; 13 x 18 cm",,,,,"The item is a photograph looking at a view of Niagara historical society, memorial hall erected in 1906 on the north side of Castlereagh Street, east of King Street, Niagara-on-the-Lake.",,,,Alfred Pearson,,,,Locatable,yes,1927,,,"{""latLng"":""43.252101194443355,-79.0717591718277""}"
Keele Street Police Station,"Fonds 200, Series 372, Subseries 1, Item 624","May 7, 1924",Photographs,Subseries 1; Architect's photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0001/s0372_ss0001_it0624.jpg,100736,83946,1912-1952,ca. 1678 photographs : b&w; ; 13 x 18 cm and smaller,Architect's photographs,"Subseries consists of photographs taken on behalf of the City Architect's Department to document their activities. Photographs illustrate different types of buildings (e.g., residential, commercial, industrial) located across the City, and in various states of repair. Subseries includes views of buildings under construction, buildings undergoing repair work, buildings exhibiting structural damage (e.g., leaning walls, foundation cracks, collapsed chimneys), and buildings damaged by events such as frost, fire, or explosion.",1 photoprint : b&w; ; 13 x 18 cm. — 1 photonegative : b&w; ; 13 x 18 cm,,,,,,,,,,,,,Locatable,yes,1924,,,"{""latLng"":""43.72473087964311,-79.48200163914794""}"
10 Glen Morris,"Fonds 200, Series 1465, File 267, Item 68",[between 1980 and 1998],Photographs,File 267; University of Toronto - Huron Street and Sussex Avenue,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0267_it0068.jpg,449135,307102,[between 1980 and 1998],74 transparencies : col. ; 35mm,University of Toronto - Huron Street and Sussex Avenue,"File consists of images of buildings, mostly houses, on Huron, Sussex, Washington, and Glen Morris.",,HOUSES (browse  records),,,,,,,,,,,,Locatable,yes,1980,1998,,"{""latLng"":""43.6642727,-79.40125869999997""}"
Computer rendition of proposed railway lands development,"Fonds 200, Series 1465, File 59, Item 103",[between 1980 and 1998],Photographs,"File 59; Miscellaneous, Harbourfront, Railway Lands, CN Tower, Union Station  ",,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0059_id0103.jpg,441217,306894,[between 1977 and 1998],264 transparencies : 258 col. ; 6 b&w; ; 35mm ,"Miscellaneous, Harbourfront, Railway Lands, CN Tower, Union Station  ","File consists of 60 photographs, 185 illustrations and 19 urban design models depicting the Harbourfront and Railway Lands areas.",,,,,,,,,,,,,,Locatable,yes,1980,1998,,"{""latLng"":""43.63747228543014,-79.39570314186403""}"
Keele Street Police Station,"Fonds 200, Series 372, Subseries 1, Item 624","May 7, 1924",Photographs,Subseries 1; Architect's photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0001/s0372_ss0001_it0624.jpg,100736,83946,1912-1952,ca. 1678 photographs : b&w; ; 13 x 18 cm and smaller,Architect's photographs,"Subseries consists of photographs taken on behalf of the City Architect's Department to document their activities. Photographs illustrate different types of buildings (e.g., residential, commercial, industrial) located across the City, and in various states of repair. Subseries includes views of buildings under construction, buildings undergoing repair work, buildings exhibiting structural damage (e.g., leaning walls, foundation cracks, collapsed chimneys), and buildings damaged by events such as frost, fire, or explosion.",1 photoprint : b&w; ; 13 x 18 cm. — 1 photonegative : b&w; ; 13 x 18 cm,,,,,,,,,,,,,Maybe,yes,1924,,There is a Keele street police station near 401 today but it doesn't look like it's the same as the old location.,"{""latLng"":""43.6646971,-79.46475240000001""}"
St. David's Presbyterian Church,"Fonds 1231, Item 344","August 30, 1911","Photographs
Photographs - buildings - exterior views",Fonds 1231; James Salmon collection,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1231/f1231_it0344.jpg,79371,78988,,,,,1 photonegative : b&w; ; 13 x 18 cm,CHURCHES (browse  records),,,,,,,,,"City of Toronto Archives, Fonds 1231, Item 344",,,Maybe,yes,1911,,"writing on the photo mentions widening of clair ave.

there's a st david's in scarborough, but that's only been around since 1954:
https://stdavidspresbyterian.org/about-us/history/","{""latLng"":""43.7413949,-79.24548010000001""}"
"Township of York, Eglinton, looking east, from Sanderstead","Fonds 16, Series 71, Item 3455","October 17, 1924",,Series 71; Central photography series of the Toronto Transit Commission,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser71/s0071_it3455.jpg,38956,25217,,,,,1 photoprint : b&w; ; 13 x 18 cm,trackwork (browse  records) CONSTRUCTION (browse  records) ROADS (browse  records),,,,Item is a photograph looking at Township of York Eglinton Avenue looking east from Sanderstead.,,,,Alfred Pearson,,,,Locatable,yes,1924,,,"{""latLng"":""43.6928435,-79.46303189999998""}"
Neighbourhood advisory council meeting,"Fonds 200, Series 1465, File 636, Item 61",[1990],Photographs,File 636; Neighbourhood advisory council,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0636_it0061.jpg,573527,324283,[1990],"45 transparencies : col. ; 35mm 
22 transparencies : b&w; ; 35mm",Neighbourhood advisory council,"File consists of images of various neighbourhood advisory council meetings, showing people viewing image of Ataratiri plans and other project plans and models. File also includes images of Barbara Hall being interviewed on a television show.",,MEETINGS (browse  records),,,,,,,,,,,,Not Locatable,yes,1990,,"this photo mentions the filming of a television show in 1990, but that seems very unlikely since television weren't a thing yet ....",
South side of Wellington west of Yonge,"Fonds 200, Series 1465, File 414, Item 21",[between 1983 and 1993],Photographs,File 414; Buildings: BCE Place,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0414_it0021.jpg,453342,322296,1983-1993,54 transparencies : col ; 35mm,Buildings: BCE Place,"File includes images of the interior and exterior of BCE Place (Brookfield Place), including construction, the older buildings on Yonge and Wellington that were converted, and other streets in the area.",,,,,,,,,,,,,,Locatable,yes,1983,1993,"https://www.google.com/maps/@43.6477531,-79.3777429,3a,75y,166.63h,94.37t/data=!3m6!1e1!3m4!1sQ9oROj4E4pw4WHluQoEG3A!2e0!7i13312!8i6656","{""latLng"":""43.653226,-79.38318429999998""}"
Island Yacht Club,"Fonds 124, File 6, Item 32","June, 1974",Photographs,File 6; Toronto Island,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0006_id0032.jpg,429667,127341,1945-1985,57 transparencies : col. ; 35 mm,Toronto Island,"File consists of colour slides documenting the parklands, shoreline, beaches, ponds, lagoons, and the visitors on Toronto Island. There is also a photograph of the bridge over Long Pond, and two skyline views of Toronto from the island.","1 transparency : col. slide, diapositive (Kodachrome) ; 35 mm",BOATS (browse  records),,Ellis Wiley slide number: L2.84-7803.,,,,,,,,,,Locatable,yes,1974,,Not 100% sure this is the correct yacht club.,"{""latLng"":""43.6234252,-79.38654680000002""}"
"Shuter St, north side, east of Ontario St, northwest corner","Fonds 1526, File 62, Item 110","May 25, 1977",,"File 62; ""P"" to ""S"" street views",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0062_it0110.jpg,518394,456765,"August 4, 1958-May 19, 1984","174 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm","""P"" to ""S"" street views","File consists of 174 35mm Kodachrome slide transparencies of Toronto street views for streets that begin with the letters ""P"" to ""S."" Photographs were taken between 1958 and 1984, and include views of: Parliament Street, Pembroke Street, Percy Street, Pleasant Boulevard, Portland Street, Poulett Street, Princess Street, Queen's Park, Queen's Quay, Renfrew Place, Richmond Street East, Richmond Street West, Riverdale Park, Sackville Street, Seaton Street, Shaw Street, Sherbourne Street, Shuter Street, Simcoe Street, Spadina Avenue, Spruce Street, Sumach Street, St. Clair Avenue East, St. Clair Avenue West, St. Patrick Street, and St. Paul Street.",1 transparency : col. ; 35 mm,,,,,,,,,,,,,Locatable,yes,1977,,,"{""latLng"":""43.65657745352051,-79.36702960527953""}"
Skating at Nathan Phillips Square,"Fonds 200, Series 1465, File 674, Item 12",[between 1990 and 1992],Photographs,File 674; Nathan Phillips Square,,OPEN - No restrictions on these government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0674_it0012.jpg,575081,324851,1990-1992,36 transparencies : colour ; 35mm,Nathan Phillips Square,"File consists of images of Nathan Phillips Square, including the pool, skating rink and Peace Garden. File also includes images of Old City Hall.",,OUTDOOR RINKS (browse  records) skating (browse  records),,,,,,,,,,,,Locatable,yes,1990,1992,,"{""latLng"":""43.6525485,-79.38351180000001""}"
Looking south-west to Queen's Park ,"Fonds 200, Series 1465, File 397, Item 27",[between 1990 and 1994],Photographs,File 397; Aerial views of downtown,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0397_it0027.jpg,452861,322246,1990-1994,33 transparencies : col ; 35mm,Aerial views of downtown,File consists of aerial images of downtown and the waterfront.,,,,,,,,,,,,,,Locatable,yes,1990,1994,,"{""latLng"":""43.664452383885546,-79.39239672803342""}"
"Flooded conditions and burst flume, Front and Adelaide streets, underground","Fonds 1128, Series 381, File 63, Item 7089-3",,,"File 63; Flooded conditions and burst flume, Front and Adelaide streets, underground",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser381/s0381_fl0063_id7089-3.jpg,425963,103084,"July 25, 1950",5 photonegatives : b&w; ; 10 cm X 13 cm,"Flooded conditions and burst flume, Front and Adelaide streets, underground",,,,,,,,,,,,,,,Not Locatable,yes,1950,,"front street and adelaide run parallel to each other not far from the lake, unclear where this is","{""latLng"":""43.6474061,-79.39236289999997""}"
Beaconsfield laneway detail,"Fonds 485, Series 2341, File 1, Item 46","November 2, 2009",,File 1; Beaconsfield laneways,,OPEN - No restrictions on these non-government records.,"Copyright was transferred to the City of Toronto by the copyright owner. ...moreThis item was created in a digital format and its resolution is below the Archives' standard for reproduction. You are welcome to download the image at no charge, but copies, in either digital or print format, will not be sold by the Archives.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/s2341/s2341_fl0001_it0046.jpg,633640,633538,2005-2009,,Beaconsfield laneways,,1 photograph : col. (jpeg) ; 4.068 MB,,Size of digital file indicated reflects the size of the file as received by the Archives.,Digital file previously named: Mackenzie Lisgar view S 091102.JPG,,"Item is a photograph taken looking south, north of Afton Avenue, in a laneway running north-south, in the block bounded by Afton Avenue in the south, MacKenzie Crescent in the north, Lisgar Street in the west and MacKenzie Crescent in the east. ",Date of creation based on Date Taken field in file properties.,,,,,,,Locatable,yes,2009,,,"{""latLng"":""43.64785220792115,-79.42552682803341""}"
"Living room with gas radiant fire, hot water radiator, gas and electric lighting, leopard skin rug and piano","Fonds 1034, Item 887",1913,Photographs,Fonds 1034; Consumers' Gas Company Ltd. fonds,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1034/f1034_it0887.jpg,564957,45741,,,,,"1 negative : b&w;, glass ; 20 x 25 cm",,,,,,,,,,,,,Not Locatable,yes,1913,,,
Harbour Commission Building - illuminated at night,"Fonds 1526, File 40, Item 12","July 27, 1958",Photographs,File 40; Miscellaneous slides of Toronto,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0040_it0012.jpg,516412,456376,"June 22, 1957-March 28, 1984","61 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm",Miscellaneous slides of Toronto,"File consists of 61 35mm Kodachrome slide transparencies of various Toronto buildings, landmarks and street scenes, including: Brentwoods Towers, the Dineen Building, the Heintzman & Co. Ltd. Building, the Imperial Oil Building demolition, the Massey-Ferguson Building, The Old Mill, Sunnyside Outdoor Swimming Pool, Toronto Fire Hall #8, the Toronto Harbour Commission Building, the Toronto Star Building, Ryerson architectural student models, the Toronto sesquicentennial banner, the statue of Peter Pan, and shots of street food vending, billboards, traffic lights, and summer smog. File also includes shots of the House of Anne's Well and nearby 200 year-old trees in Thornhill, Ontario.",1 transparency : col. ; 35 mm,,,,,,,,,,,,,Locatable,yes,1958,,"https://www.google.com/maps/@43.6416926,-79.3786786,3a,73.7y,14.34h,94.48t/data=!3m6!1e1!3m4!1s_VRBjkV5K0M3E5OQ4VRVug!2e0!7i13312!8i6656","{""latLng"":""43.653226,-79.38318429999998""}"
"Sunnyside, wading pool","Fonds 1266, Item 40625","July 1, 1936",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 40625.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it40625.jpg,514999,46341,,,,,1 photonegative : b&w; ; safety film; 10 x 13 cm,,,Previously cited: City of Toronto Archives SC 266-40625.,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,,Locatable,yes,1936,,,"{""latLng"":""43.6376543,-79.45455199999998""}"
"Hon. W. E. Foster, New Brunswisk","Fonds 1266, Item 6487","October 27, 1925",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 6487.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it6487.jpg,282869,46341,,,,,"1 photonegative : b&w;, glass ; 9 x 11 cm",,,Previously cited: City of Toronto Archives SC 266-6487.,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,,Not Locatable,yes,1926,,,
